,Recomendacion_español
AIDS,Consultar de inmediato con un infectólogo. Realizar pruebas de carga viral y CD4. Evitar automedicación y mantener seguimiento estricto.
Acne,Lavar la cara dos veces al día con productos suaves. No reventar granos. Consultar dermatólogo si persiste o empeora.
Alcoholic hepatitis,Abstenerse completamente del alcohol. Realizar pruebas hepáticas regulares y seguir dieta hepática estricta.
Allergy,"Identificar y evitar alérgenos conocidos (polen, polvo, alimentos). Usar antihistamínicos y consultar si se presenta dificultad respiratoria."
Arthritis,Evitar esfuerzos excesivos. Realizar ejercicios articulares suaves. Usar antiinflamatorios y asistir a control reumatológico.
Bronchial Asthma,"Evitar humo, polvo y cambios de temperatura. Usar broncodilatadores según indicación médica. Llevar plan de acción personal."
Cervical spondylosis,"Evitar malas posturas y movimientos bruscos de cuello. Usar calor local, ejercicios cervicales y analgésicos prescritos."
Chicken pox,Evitar contacto con personas. No rascarse las lesiones. Usar loción calmante y antipiréticos bajo control médico.
Chronic cholestasis,Requiere evaluación hepática profunda. Seguir dieta baja en grasa y evitar alcohol. Monitorear bilirrubina y enzimas hepáticas.
Common Cold,"Reposar, beber líquidos, usar analgésicos y descongestionantes. Consultar si dura más de 7 días o hay fiebre alta."
Dengue,Hidratación constante. No usar aspirina. Controlar signos de alarma como sangrado o dolor abdominal. Hospitalización si es grave.
Diabetes,"Controlar glucosa diariamente. Seguir dieta sin azúcar, hacer ejercicio y tomar medicación según plan médico."
Dimorphic hemmorhoids(piles),Consumir dieta rica en fibra. Evitar pujar al defecar. Usar baños de asiento y cremas específicas.
Drug Reaction,"Suspender inmediatamente el medicamento sospechoso. Acudir a urgencias si hay ronchas, dificultad para respirar o fiebre."
Fungal infection,Mantener piel seca y ventilada. Aplicar antimicóticos tópicos. Cambiar ropa interior frecuentemente.
GERD,"Evitar comidas abundantes, grasas o picantes. Dormir con la cabeza elevada. Usar antiácidos según indicación."
Gastroenteritis,Dieta blanda e hidratación constante. Evitar lácteos y grasas. Consultar si hay fiebre o diarrea persistente.
Heart attack,Dolor de pecho fuerte es emergencia médica. Acudir de inmediato a urgencias. No automedicarse.
Hepatitis B,Evitar alcohol. Hacerse pruebas virales. Seguir tratamiento antiviral si es indicado por infectología.
Hepatitis C,Tratamiento específico con antivirales de acción directa. Seguimiento médico obligatorio.
Hepatitis D,Requiere seguimiento estricto. Puede ser grave si coexiste con hepatitis B. Evitar riesgos de transmisión.
Hepatitis E,"Reposo, hidratación y dieta ligera. Generalmente se autolimita pero debe controlarse si hay embarazo."
Hypertension,"Tomar medicación a diario. Reducir sal, grasas y estrés. Hacer ejercicio regular."
Hyperthyroidism,Controlar con antitiroideos. Monitorear T3/T4 y TSH. Evaluar tratamiento definitivo si persiste.
Hypoglycemia,Ingerir azúcar de rápida absorción. Controlar dosis de insulina. Educar al paciente y familiares.
Hypothyroidism,Usar levotiroxina diariamente. Control hormonal periódico. Mantener dieta rica en yodo si es necesario.
Impetigo,Aplicar antibióticos tópicos. Mantener higiene de la zona. Evitar contacto con otras personas.
Jaundice,"Evaluar función hepática. Puede indicar hepatitis, cálculos o problemas biliares. Realizar ecografía."
Malaria,Confirmar diagnóstico con gota gruesa. Administrar antipalúdicos específicos. Seguir medidas preventivas.
Migraine,"Evitar luces fuertes, estrés y ciertos alimentos. Usar analgésicos o triptanos según indicación."
Osteoarthristis,Ejercicio moderado. Uso de calor local. Analgésicos y seguimiento fisiátrico.
Paralysis (brain hemorrhage),Emergencia. Hospitalización inmediata. Evaluación neurológica intensiva.
Peptic ulcer diseae,"Evitar aspirina, café, alcohol. Usar inhibidores de bomba de protones y dieta adecuada."
Pneumonia,Tomar antibióticos recetados. Reposo. Hidratarse y controlar fiebre. Atención si hay dificultad respiratoria.
Psoriasis,Tratamiento tópico o sistémico según la extensión. Evitar estrés. Seguir indicaciones dermatológicas.
Tuberculosis,Tratamiento prolongado con 4 fármacos. Control de contagios. Evaluación pulmonar y seguimiento.
Typhoid,Reposo y tratamiento antibiótico específico. Higiene alimentaria estricta.
Urinary tract infection,Tomar antibiótico prescrito. Beber mucha agua. Consultar si hay fiebre o dolor lumbar.
Varicose veins,Evitar estar de pie mucho tiempo. Usar medias de compresión. Evaluación vascular recomendada.
hepatitis A,"Reposo, dieta baja en grasa. No requiere antivirales. Evitar alcohol."
(vertigo) Paroymsal  Positional Vertigo,Realizar maniobra de Epley. Evitar movimientos bruscos. Consultar otorrino si persiste.
